id	sn	cp
1	3	9
2	4	12
3	9	154
4	9	152
5	13	164
6	22	65
7	24	133
8	24	97
9	26	90
10	29	98
11	37	41
12	38	42
13	51	74
14	52	73
15	55	122
16	61	32
17	65	128
18	67	1
19	67	2
20	68	143
21	69	118
22	70	118
23	72	162
24	76	162
25	77	25
26	79	157
27	81	78
28	82	62
29	83	64
30	87	106
31	88	103
32	90	60
33	92	102
34	93	87
35	93	86
36	93	91
37	93	89
38	93	94
39	93	92
40	93	83
41	95	108
42	104	145
43	111	96
44	113	127
45	116	126
46	118	201
47	121	150
48	127	138
49	128	124
50	130	159
51	130	116
52	130	115
53	133	181
54	134	171
55	136	147
56	137	148
57	140	192
58	141	199
59	142	142
60	154	178
61	158	175
62	159	19
63	160	176
64	167	191
65	167	186
66	168	107
67	169	185
68	172	104
69	173	194
70	174	188
71	178	51
72	178	52
73	178	53
74	180	169
75	182	14
76	182	13
77	182	16
78	183	67
79	187	130
80	190	107
81	195	95
82	198	177
83	200	46
84	201	48
85	201	45
86	203	37
87	207	55
88	209	34
89	212	82
90	214	71
91	215	137
92	216	69
93	222	187
94	226	3
95	229	4
96	230	5
97	232	38
98	235	80
99	236	81
100	237	132
101	241	131
102	246	179
103	247	183
104	250	173
105	256	111
106	257	35
107	260	36
108	263	59
109	269	49
110	271	200
111	276	29
112	277	29
113	278	28
114	280	26
115	281	31
116	282	153
117	287	40
118	290	70
119	291	70
120	292	125
121	293	167
122	294	121
123	295	155
124	296	165
125	297	30
126	300	105
127	301	79
128	302	123
129	307	47
130	311	68
131	312	77
132	313	50
133	314	56
134	315	141
135	319	85
136	323	93
137	332	17
138	334	84
139	337	75
140	340	61
141	341	15
142	342	63
143	343	8
144	343	7
145	343	6
146	350	10
147	353	161
148	354	139
149	357	21
150	357	22
151	357	23
152	357	24
153	358	189
154	360	54
155	363	136
156	367	170
157	368	182
158	373	196
159	374	202
160	375	198
161	376	174
162	379	30
163	380	158
164	381	156
165	383	180
166	385	184
167	386	146
168	388	172
169	396	250
170	402	248
171	404	259
172	405	271
173	407	260
174	411	333
175	412	270
176	415	273
177	416	266
178	419	272
179	422	317
180	425	242
181	426	261
182	428	242
183	430	263
184	434	319
185	435	267
186	439	318
187	441	240
188	441	244
189	442	221
190	447	253
191	449	251
192	450	254
193	451	249
194	457	216
195	458	214
196	460	237
197	461	237
198	468	230
199	472	276
200	474	223
201	478	208
202	481	219
203	482	204
204	484	265
205	485	301
206	486	300
207	487	207
208	488	327
209	493	326
210	494	211
211	494	231
212	496	215
213	497	214
214	499	269
215	505	258
216	511	299
217	521	281
218	524	310
219	525	308
220	527	311
221	531	283
222	536	286
223	537	295
224	541	257
225	543	289
226	545	291
227	551	203
228	558	231
229	564	234
230	567	232
231	568	312
232	570	305
233	577	315
234	578	279
235	582	229
236	584	233
237	585	309
238	589	314
239	600	277
240	602	293
241	603	290
242	611	292
243	613	287
244	614	246
245	615	302
246	621	252
247	636	247
248	641	256
249	647	323
250	649	225
251	658	224
252	662	226
253	663	322
254	663	323
255	669	296
256	670	298
257	671	297
258	677	280
259	686	284
260	689	278
261	690	336
262	691	334
263	694	302
264	696	335
265	698	307
266	699	213
267	701	212
268	703	329
269	705	325
270	706	328
271	710	294
272	711	330
273	714	331
274	718	347
275	725	373
276	727	368
277	730	346
278	738	469
279	738	473
280	738	472
281	738	500
282	739	381
283	740	443
284	741	392
285	743	485
286	744	391
287	746	391
288	752	501
289	752	502
290	754	360
291	760	361
292	764	370
293	766	465
294	769	464
295	770	483
296	771	459
297	772	483
298	773	462
299	774	484
300	775	398
301	776	394
302	779	430
303	781	380
304	787	348
305	788	414
306	803	427
307	807	367
308	811	450
309	814	492
310	819	422
311	820	421
312	824	467
313	824	468
314	827	354
315	828	354
316	830	358
317	831	389
318	832	429
319	836	442
320	837	428
321	839	431
322	841	438
323	842	432
324	847	353
325	848	453
326	849	434
327	850	436
328	851	504
329	854	503
330	856	413
331	857	457
332	860	417
333	870	338
334	871	339
335	875	406
336	878	342
337	878	345
338	879	510
339	880	341
340	888	508
341	888	507
342	888	482
343	889	403
344	890	405
345	897	363
346	898	365
347	899	364
348	902	383
349	902	382
350	902	402
351	907	423
352	908	481
353	912	355
354	913	385
355	919	384
356	921	366
357	921	372
358	921	374
359	925	439
360	926	435
361	928	362
362	941	476
363	941	475
364	941	477
365	950	490
366	950	486
367	953	375
368	959	378
369	961	377
370	965	388
371	971	399
372	975	447
373	977	387
374	980	446
375	981	447
376	983	455
377	984	452
378	985	404
379	988	376
380	991	400
381	992	407
382	993	466
383	999	376
384	1003	409
385	1004	423
386	1005	424
387	1006	512
388	1007	513
389	1010	463
390	1015	433
391	1019	480
392	1022	479
393	1028	420
394	1034	418
395	1036	489
396	1038	498
397	1039	487
398	1042	412
399	1044	478
400	1049	441
401	1052	349
402	1054	357
403	1054	351
404	1054	350
405	1056	393
406	1060	426
407	1062	440
408	1063	448
409	1066	458
410	1067	461
411	1068	498
412	1069	495
413	1070	494
414	1070	493
415	1075	340
416	1090	395
417	1098	470
418	1098	471
419	1099	396
420	1100	491
421	1103	495
422	1104	497
423	1106	509
