id	text	lemma	sent	source	pos	mother	rel
1	Mr	mr	1	t_97-05-28_5	NNP	2	compound
2	President	president	1	t_97-05-28_5	NNP	12	nsubj
3	,	,	1	t_97-05-28_5	,	2	punct
4	the	the	1	t_97-05-28_5	DT	6	det
5	first	first	1	t_97-05-28_5	JJ	6	amod
6	item	item	1	t_97-05-28_5	NN	2	appos
7	on	on	1	t_97-05-28_5	IN	6	prep
8	the	the	1	t_97-05-28_5	DT	9	det
9	order	order	1	t_97-05-28_5	NN	7	pobj
10	of	of	1	t_97-05-28_5	IN	9	prep
11	business	business	1	t_97-05-28_5	NN	10	pobj
12	is	be	1	t_97-05-28_5	VBZ	12	ROOT
13	a	a	1	t_97-05-28_5	DT	14	det
14	communication	communication	1	t_97-05-28_5	NN	12	attr
15	from	from	1	t_97-05-28_5	IN	14	prep
16	the	the	1	t_97-05-28_5	DT	17	det
17	Commission	commission	1	t_97-05-28_5	NNP	15	pobj
18	on	on	1	t_97-05-28_5	IN	14	prep
19	urgent	urgent	1	t_97-05-28_5	JJ	21	amod
20	political	political	1	t_97-05-28_5	JJ	21	amod
21	matters	matter	1	t_97-05-28_5	NNS	18	pobj
22	of	of	1	t_97-05-28_5	IN	21	prep
23	major	major	1	t_97-05-28_5	JJ	24	amod
24	importance	importance	1	t_97-05-28_5	NN	22	pobj
25	.	.	1	t_97-05-28_5	.	12	punct
26	I	-PRON-	2	t_97-05-28_5	PRP	27	nsubj
27	wish	wish	2	t_97-05-28_5	VBP	27	ROOT
28	to	to	2	t_97-05-28_5	TO	29	aux
29	raise	raise	2	t_97-05-28_5	VB	27	xcomp
30	a	a	2	t_97-05-28_5	DT	31	det
31	matter	matter	2	t_97-05-28_5	NN	29	dobj
32	which	which	2	t_97-05-28_5	WDT	35	nsubjpass
33	has	have	2	t_97-05-28_5	VBZ	35	aux
34	been	be	2	t_97-05-28_5	VBN	35	auxpass
35	excluded	exclude	2	t_97-05-28_5	VBN	31	relcl
36	from	from	2	t_97-05-28_5	IN	35	prep
37	the	the	2	t_97-05-28_5	DT	38	det
38	agenda	agenda	2	t_97-05-28_5	NN	36	pobj
39	,	,	2	t_97-05-28_5	,	38	punct
40	namely	namely	2	t_97-05-28_5	RB	42	advmod
41	the	the	2	t_97-05-28_5	DT	42	det
42	question	question	2	t_97-05-28_5	NN	38	appos
43	of	of	2	t_97-05-28_5	IN	42	prep
44	Norwegian	norwegian	2	t_97-05-28_5	JJ	45	amod
45	salmon	salmon	2	t_97-05-28_5	NN	46	compound
46	dumping	dumping	2	t_97-05-28_5	NN	43	pobj
47	and	and	2	t_97-05-28_5	CC	46	cc
48	the	the	2	t_97-05-28_5	DT	50	det
49	salmon	salmon	2	t_97-05-28_5	NN	50	compound
50	subsidy	subsidy	2	t_97-05-28_5	NN	46	conj
