id	text	source
1	Mr	t_97-05-28_5
2	President	t_97-05-28_5
3	,	t_97-05-28_5
4	the	t_97-05-28_5
5	first	t_97-05-28_5
6	item	t_97-05-28_5
7	on	t_97-05-28_5
8	the	t_97-05-28_5
9	order	t_97-05-28_5
10	of	t_97-05-28_5
11	business	t_97-05-28_5
12	is	t_97-05-28_5
13	a	t_97-05-28_5
14	communication	t_97-05-28_5
15	from	t_97-05-28_5
16	the	t_97-05-28_5
17	Commission	t_97-05-28_5
18	on	t_97-05-28_5
19	urgent	t_97-05-28_5
20	political	t_97-05-28_5
21	matters	t_97-05-28_5
22	of	t_97-05-28_5
23	major	t_97-05-28_5
24	importance	t_97-05-28_5
25	.	t_97-05-28_5
26	I	t_97-05-28_5
27	wish	t_97-05-28_5
28	to	t_97-05-28_5
29	raise	t_97-05-28_5
30	a	t_97-05-28_5
31	matter	t_97-05-28_5
32	which	t_97-05-28_5
33	has	t_97-05-28_5
34	been	t_97-05-28_5
35	excluded	t_97-05-28_5
36	from	t_97-05-28_5
37	the	t_97-05-28_5
38	agenda	t_97-05-28_5
39	,	t_97-05-28_5
40	namely	t_97-05-28_5
41	the	t_97-05-28_5
42	question	t_97-05-28_5
43	of	t_97-05-28_5
44	Norwegian	t_97-05-28_5
45	salmon	t_97-05-28_5
46	dumping	t_97-05-28_5
47	and	t_97-05-28_5
48	the	t_97-05-28_5
49	salmon	t_97-05-28_5
50	subsidy	t_97-05-28_5
51	.	t_97-05-28_5
52	The	t_97-05-28_5
53	Norwegians	t_97-05-28_5
54	have	t_97-05-28_5
55	been	t_97-05-28_5
56	proved	t_97-05-28_5
57	guilty	t_97-05-28_5
58	and	t_97-05-28_5
59	the	t_97-05-28_5
60	penalty	t_97-05-28_5
61	should	t_97-05-28_5
62	be	t_97-05-28_5
63	notified	t_97-05-28_5
64	by	t_97-05-28_5
65	the	t_97-05-28_5
66	end	t_97-05-28_5
67	of	t_97-05-28_5
68	this	t_97-05-28_5
69	week	t_97-05-28_5
70	.	t_97-05-28_5
71	I	t_97-05-28_5
72	want	t_97-05-28_5
73	to	t_97-05-28_5
74	the	t_97-05-28_5
75	Commissioner	t_97-05-28_5
76	to	t_97-05-28_5
77	tell	t_97-05-28_5
78	us	t_97-05-28_5
79	what	t_97-05-28_5
80	is	t_97-05-28_5
81	happening	t_97-05-28_5
82	.	t_97-05-28_5
83	We	t_97-05-28_5
84	have	t_97-05-28_5
85	heard	t_97-05-28_5
86	nothing	t_97-05-28_5
87	.	t_97-05-28_5
88	Apparently	t_97-05-28_5
89	certain	t_97-05-28_5
90	committees	t_97-05-28_5
91	of	t_97-05-28_5
92	this	t_97-05-28_5
93	House	t_97-05-28_5
94	are	t_97-05-28_5
95	able	t_97-05-28_5
96	to	t_97-05-28_5
97	place	t_97-05-28_5
98	certain	t_97-05-28_5
99	topics	t_97-05-28_5
100	on	t_97-05-28_5
101	the	t_97-05-28_5
102	agenda	t_97-05-28_5
103	under	t_97-05-28_5
104	this	t_97-05-28_5
105	item	t_97-05-28_5
106	which	t_97-05-28_5
107	means	t_97-05-28_5
108	that	t_97-05-28_5
109	ordinary	t_97-05-28_5
110	Members	t_97-05-28_5
111	cannot	t_97-05-28_5
112	raise	t_97-05-28_5
113	others	t_97-05-28_5
114	.	t_97-05-28_5
115	Mr	t_97-05-28_15
116	President	t_97-05-28_15
117	,	t_97-05-28_15
118	as	t_97-05-28_15
119	you	t_97-05-28_15
120	would	t_97-05-28_15
121	quite	t_97-05-28_15
122	rightly	t_97-05-28_15
123	assume	t_97-05-28_15
124	,	t_97-05-28_15
125	I	t_97-05-28_15
126	am	t_97-05-28_15
127	going	t_97-05-28_15
128	to	t_97-05-28_15
129	speak	t_97-05-28_15
130	against	t_97-05-28_15
131	the	t_97-05-28_15
132	suggestion	t_97-05-28_15
133	from	t_97-05-28_15
134	Mrs	t_97-05-28_15
135	Oomen-Ruijten	t_97-05-28_15
136	.	t_97-05-28_15
137	The	t_97-05-28_15
138	reasons	t_97-05-28_15
139	she	t_97-05-28_15
140	gave	t_97-05-28_15
141	are	t_97-05-28_15
142	quite	t_97-05-28_15
143	spurious	t_97-05-28_15
144	.	t_97-05-28_15
145	This	t_97-05-28_15
146	has	t_97-05-28_15
147	been	t_97-05-28_15
148	on	t_97-05-28_15
149	the	t_97-05-28_15
150	agenda	t_97-05-28_15
151	now	t_97-05-28_15
152	for	t_97-05-28_15
153	some	t_97-05-28_15
154	time	t_97-05-28_15
155	.	t_97-05-28_15
156	It	t_97-05-28_15
157	went	t_97-05-28_15
158	through	t_97-05-28_15
159	the	t_97-05-28_15
160	Committee	t_97-05-28_15
161	on	t_97-05-28_15
162	Budgets	t_97-05-28_15
163	with	t_97-05-28_15
164	quite	t_97-05-28_15
165	a	t_97-05-28_15
166	substantial	t_97-05-28_15
167	majority	t_97-05-28_15
168	.	t_97-05-28_15
169	There	t_97-05-28_15
170	were	t_97-05-28_15
171	no	t_97-05-28_15
172	problems	t_97-05-28_15
173	then	t_97-05-28_15
174	.	t_97-05-28_15
175	We	t_97-05-28_15
176	discovered	t_97-05-28_15
177	there	t_97-05-28_15
178	was	t_97-05-28_15
179	a	t_97-05-28_15
180	problem	t_97-05-28_15
181	at	t_97-05-28_15
182	12.30	t_97-05-28_15
183	p.	t_97-05-28_15
184	m.	t_97-05-28_15
185	today	t_97-05-28_15
186	.	t_97-05-28_15
187	This	t_97-05-28_15
188	is	t_97-05-28_15
189	not	t_97-05-28_15
190	the	t_97-05-28_15
191	way	t_97-05-28_15
192	for	t_97-05-28_15
193	the	t_97-05-28_15
194	House	t_97-05-28_15
195	to	t_97-05-28_15
196	run	t_97-05-28_15
197	its	t_97-05-28_15
198	business	t_97-05-28_15
199	.	t_97-05-28_15
200	(	t_97-05-28_15
201	Applause	t_97-05-28_15
202	from	t_97-05-28_15
203	the	t_97-05-28_15
204	PSE	t_97-05-28_15
205	Group	t_97-05-28_15
206	)	t_97-05-28_15
207	As	t_97-05-28_15
208	for	t_97-05-28_15
209	the	t_97-05-28_15
210	problems	t_97-05-28_15
211	,	t_97-05-28_15
212	the	t_97-05-28_15
213	sensitive	t_97-05-28_15
214	issues	t_97-05-28_15
215	which	t_97-05-28_15
216	Mrs	t_97-05-28_15
217	Oomen-Ruijten	t_97-05-28_15
218	talks	t_97-05-28_15
219	about	t_97-05-28_15
220	will	t_97-05-28_15
221	still	t_97-05-28_15
222	be	t_97-05-28_15
223	there	t_97-05-28_15
224	in	t_97-05-28_15
225	June	t_97-05-28_15
226	.	t_97-05-28_15
227	I	t_97-05-28_15
228	would	t_97-05-28_15
229	suggest	t_97-05-28_15
230	that	t_97-05-28_15
231	we	t_97-05-28_15
232	leave	t_97-05-28_15
233	it	t_97-05-28_15
234	on	t_97-05-28_15
235	our	t_97-05-28_15
236	agenda	t_97-05-28_15
237	.	t_97-05-28_15
238	If	t_97-05-28_15
239	there	t_97-05-28_15
240	are	t_97-05-28_15
241	any	t_97-05-28_15
242	points	t_97-05-28_15
243	in	t_97-05-28_15
244	that	t_97-05-28_15
245	report	t_97-05-28_15
246	which	t_97-05-28_15
247	she	t_97-05-28_15
248	disagrees	t_97-05-28_15
249	with	t_97-05-28_15
250	,	t_97-05-28_15
251	her	t_97-05-28_15
252	group	t_97-05-28_15
253	can	t_97-05-28_15
254	vote	t_97-05-28_15
255	against	t_97-05-28_15
256	them	t_97-05-28_15
257	there	t_97-05-28_15
258	and	t_97-05-28_15
259	then	t_97-05-28_15
260	and	t_97-05-28_15
261	that	t_97-05-28_15
262	will	t_97-05-28_15
263	resolve	t_97-05-28_15
264	the	t_97-05-28_15
265	issue	t_97-05-28_15
266	.	t_97-05-28_15
267	(	t_97-05-28_15
268	Applause	t_97-05-28_15
269	from	t_97-05-28_15
270	the	t_97-05-28_15
271	PSE	t_97-05-28_15
272	Group	t_97-05-28_15
273	)	t_97-05-28_15
274	What	t_97-05-28_22
275	steps	t_97-05-28_22
276	has	t_97-05-28_22
277	the	t_97-05-28_22
278	Commissioner	t_97-05-28_22
279	taken	t_97-05-28_22
280	to	t_97-05-28_22
281	freeze	t_97-05-28_22
282	the	t_97-05-28_22
283	assets	t_97-05-28_22
284	of	t_97-05-28_22
285	Mr	t_97-05-28_22
286	Mobutu	t_97-05-28_22
287	which	t_97-05-28_22
288	are	t_97-05-28_22
289	held	t_97-05-28_22
290	in	t_97-05-28_22
291	Member	t_97-05-28_22
292	States	t_97-05-28_22
293	?	t_97-05-28_22
294	Will	t_97-05-28_22
295	the	t_97-05-28_22
296	Commission	t_97-05-28_22
297	take	t_97-05-28_22
298	legal	t_97-05-28_22
299	action	t_97-05-28_22
300	in	t_97-05-28_22
301	these	t_97-05-28_22
302	Member	t_97-05-28_22
303	States	t_97-05-28_22
304	to	t_97-05-28_22
305	try	t_97-05-28_22
306	to	t_97-05-28_22
307	recover	t_97-05-28_22
308	the	t_97-05-28_22
309	assets	t_97-05-28_22
310	looted	t_97-05-28_22
311	from	t_97-05-28_22
312	that	t_97-05-28_22
313	country	t_97-05-28_22
