id	text	iset	shellnoun	content	content_phrase	comment
1	motion	22770	true	given	167	_
2	view	22723	false	_		_
3	view	22729	false	_		_
4	issue	22688	true	given	6	_
5	issue	22048	false	_		_
6	opinion	22145	false	_		_
7	plan	21619	true	given	13	_
8	law	21851	false	_		_
9	law	21846	false	_		_
10	fact	13760	false	_		_
11	decisions	13944	false	_		_
12	objectives	13089	true	given	160	_
13	needs	12795	false	_		_
14	efforts	12847	true	implicit		_
15	aim	12988	true	given	159	_
16	reasons	12335	true	given	4 5	_
17	fact	12708	true	given	56	_
18	suggestion	1129	true	external		_
19	needs	1043	true	implicit		_
20	needs	1074	true	implicit		_
21	intention	950	true	given	93	_
22	needs	1004	true	implicit		_
23	reason	720	true	given	91	_
24	needs	845	true	implicit		_
25	needs	909	true	given	90	_
26	fact	342	true	given	118	_
27	suggestion	132	true	external		_
28	reasons	138	true	external		_
29	requirement	16443	true	given	35	_
30	question	10462	true	given	21	_
31	need	16554	true	given	69	_
32	proposals	16660	false	_		_
33	fact	16888	true	given	55	_
34	need	16804	true	given	68	_
35	requirements	15125	false	_		_
36	conclusion	14833	false	_		_
37	fact	14811	true	given	137	_
38	proposals	14802	false	_		_
39	fact	15841	true	given	202	_
40	fact	15774	false	_		_
41	possibilities	15598	false	_		_
42	ideas	18435	false	_		_
43	proposal	18432	false	_		_
44	issues	12187	true	given	8 2 3	_
45	fact	18429	true	given	96	_
46	situation	12440	false	_		_
47	situation	12430	false	_		_
48	proposal	18566	true	given	105	_
49	question	12542	true	external		_
50	opinion	1467	true	implicit		_
51	call	1325	true	given	61	_
52	situation	11792	false	_		_
53	verdict	11875	false	_		_
54	proposal	18771	false	_		_
55	conclusion	18760	true	given	155	_
56	aims	18837	true	given	18 17	_
57	issue	11990	false	_		_
58	argument	18817	true	given	156	_
59	aims	18859	true	given	18 17	_
60	issue	12057	true	given	9	_
61	amendment	1762	false	_		_
62	position	1748	true	implicit		_
63	amendment	1847	false	_		_
64	amendment	1890	false	_		_
65	condition	11304	false	_		_
66	rights	11322	false	_		_
67	issues	11399	false	_		_
68	issues	11416	false	_		_
69	issues	11771	false	_		_
70	intent	21480	false	_		_
71	onus	21490	true	given	76	_
72	question	21370	true	given	79	_
73	conviction	17355	true	given	53	_
74	position	21210	true	external		_
75	ability	17323	true	given	87	_
76	law	528	false	_		_
77	question	11538	true	given	78	_
78	willingness	676	true	given	80	_
79	point of view	671 672 673	true	external		_
80	opinion	561	true	given	83	_
81	law	656	false	_		_
82	decisions	17597	false	_		_
83	option	10657	true	given	84	_
84	decisions	17504	false	_		_
85	proposal	18235	true	given	136	_
86	reasons	18190	true	given	127	_
87	question	11249	false	_		_
88	requirements	18253	false	_		_
89	question	11069	false	_		_
90	hope	17663	true	given	86	_
91	application	11060	false	_		_
92	aim	17749	true	given	85	_
93	question	10961	false	_		_
94	difficulties	943	true	implicit		_
95	plan	982	true	given	63	_
96	plan	999	true	implicit		_
97	difficulties	886	true	implicit		_
98	amendment	15061	false	_		_
99	facts	25530	false	_		_
100	failure	25432	true	given	148	_
101	decision	25689	true	external		_
102	proposal	25284	true	external		_
103	question	20617	true	given	110	_
104	question	15333	false	_		_
105	issue	15225	true	given	112	_
106	circumstances	15688	true	implicit		_
107	questions	382	true	given	122 82	_
108	circumstances	372	false	_		_
109	question	20862	true	external		_
110	question	42	true	given	124	_
111	circumstances	21095	false	_		_
112	Position	14524	false	_		_
113	view	14555	true	given	134	_
114	amendment	14630	false	_		_
115	objective	24793	true	given	107	_
116	call	20352	true	given	138	_
117	reason	24825	true	given	108	_
118	rights	20289	false	_		_
119	impression	24712	true	given	111	_
120	impression	24728	true	given	109	_
121	rights	13640	false	_		_
122	question	13445	false	_		_
123	difficulties	13348	false	_		_
124	decisions	24950	false	_		_
125	question	13240	false	_		_
126	questions	13250	false	_		_
127	questions	13303	false	_		_
128	idea	24906	true	given	142	_
129	need	23957	false	_		_
130	rights	19950	false	_		_
131	trend	19921	true	given	170	_
132	decisions	13949	true	given	141	_
133	fact	14092	true	given	207	_
134	opportunities	14274	false	_		_
135	question	20138	true	given	179	_
136	rights	20086	false	_		_
137	issues	20179	false	_		_
138	demand	20176	true	given	139	_
139	ability	24097	true	given	196	_
140	decision	14419	true	given	115	_
141	fact	24090	false	_		_
142	courage	14758	false	_		_
143	rights	20012	false	_		_
144	opportunity	14643	false	_		_
145	promise	24218	true	given	204	_
146	proposal	14568	false	_		_
147	proposal	24142	false	_		_
148	issue	19313	false	_		_
149	question	19143	false	_		_
150	issue	15847	true	external		_
151	right	19883	false	_		_
152	right	19854	true	given	173	_
153	rights	19808	true	given	200	_
154	question	2836	false	_		_
