id	text	iset	shellnoun	content	content_phrase	comment
1	Eigenbedarf	21410	false	_		_
2	Schlussfolgerungen	21207	false	_		_
3	Schlussfolgerungen	21112	true	given	9	_
4	Mut	20925	true	given	12	_
5	Frage	13052	false	_		_
6	Rechte	13246	false	_		_
7	Fragen	12848	false	_		_
8	Schwierigkeiten	12962	false	_		_
9	Meinung	12996	true	given	154 152	_
10	Fragen	12857	false	_		_
11	Fragen	12905	false	_		_
12	Lage	12623	false	_		_
13	Ziele	12706	true	given	164	_
14	Lage	12070	false	_		_
15	Lage	12083	false	_		_
16	Frage	12185	true	external		_
17	Schwierigkeiten	869	true	implicit		_
18	Möglichkeit	1130	true	implicit		_
19	Plan	963	true	implicit		_
20	Vorschlägen	1088	true	external		_
21	Schwierigkeiten	919	true	implicit		_
22	Plan	943	true	given	65	_
23	Auffassung	422	true	implicit		_
24	Fragen	371	true	given	133 97	_
25	Recht	758	false	_		_
26	Ansicht	558	true	given	90	_
27	Recht	658	false	_		_
28	Standpunkt	671	true	external		_
29	Bereitschaft	674	true	given	98	_
30	Recht	524	false	_		_
31	Fragen	20	false	_		_
32	Vorschlag	131	true	external		_
33	Frage	25	unclear	undefined		_
34	Recht	122	false	_		_
35	Umständen	360	false	_		_
36	Wille	15665	false	_		_
37	Voraussetzung	15541	true	given	41	_
38	Voraussetzung	15648	true	given	42	_
39	Vorschlägen	15854	false	_		_
40	Voraussetzung	15860	false	_		_
41	Ziel	15461	false	_		_
42	Gefahren	15399	false	_		_
43	Meinung	15303	false	_		_
44	Hinweis	16050	false	_		_
45	Gefahr	16058	false	_		_
46	Gefahr	16076	false	_		_
47	Antrag	16133	false	_		_
48	Antrag	16189	false	_		_
49	Antrag	16246	false	_		_
50	Lage	16334	false	_		_
51	Auffassung	15997	true	given	74	_
52	Forderung	15976	true	given	73	_
53	Entscheidungen	14654	false	_		_
54	Frage	14695	false	_		_
55	Frage	14580	true	given	122	_
56	Antrag	14442	false	_		_
57	Recht	14404	false	_		_
58	Vorschläge	14233	false	_		_
59	Auffassung	15189	false	_		_
60	Beschluss	15209	false	_		_
61	Frage	15215	true	given	32	_
62	Umstand	14992	true	implicit		_
63	Frage	15127	true	external		_
64	Hinweis	14891	false	_		_
65	Überzeugung	14701	true	given	128	_
66	Möglichkeiten	14899	false	_		_
67	Gründe	11971	true	given	1 2	_
68	Vorschlag	17375	true	given	143	_
69	Plan	17690	true	given	118	_
70	Vorschlag	17651	true	given	118	_
71	Vorschlag	17561	false	_		_
72	Ziele	17846	true	given	162	_
73	Vorschlag	17790	false	_		_
74	Bedürfnisse	1032	true	implicit		_
75	Bedürfnisse	1003	true	implicit		_
76	Ziele	17866	true	given	162	_
77	Ziele	17997	true	given	25	_
78	Tendenz	17889	false	_		_
79	Vorschlag	18033	true	given	157	_
80	Vorschlags	18027	false	_		_
81	Zusagen	1546	true	given	78	_
82	Überzeugung	16572	true	given	62	_
83	Auffassung	16551	true	given	64	_
84	Vorschläge	16741	false	_		_
85	Entscheidungen	16724	false	_		_
86	Entscheidung	16709	false	_		_
87	Möglichkeit	16670	true	given	106	_
88	Forderung	16616	true	given	103	_
89	Umständen	16593	false	_		_
90	Möglichkeiten	16529	true	given	60	_
91	Entscheidungen	16837	false	_		_
92	Hoffnung	16896	true	given	102	_
93	Aufgaben	17227	true	given	87 86 91 89 94 92 83	_
94	Vorstellungen	10766	false	_		_
95	Grund	721	true	given	108	_
96	Bedürfnisse	837	true	implicit		_
97	Sofortmaßnahmen	889	true	implicit		_
98	Vorgaben	14472	false	_		_
99	Fragen	24297	false	_		_
100	Entscheidung	24344	true	external		_
101	Antrag	23823	false	_		_
102	Vorschlag	23986	true	external		_
103	Ansicht	24072	false	_		_
104	Meinung	24166	true	given	145	_
105	Tat	15066	false	_		_
106	Schluss	14255	false	_		_
107	Gründe	139	true	external		_
108	Schlussfolgerungen	19881	true	external		_
109	Ende	19969	false	_		_
110	Abschluss	19988	false	_		_
111	Anstrengungen	20076	true	given	96	_
112	Kommissionsvorschlag	14041	false	_		_
113	Eindruck	23475	true	given	127	_
114	Frage	23463	false	_		_
115	Recht	23535	false	_		_
116	Eindruck	23487	true	given	126	_
117	Rechts	23416	false	_		_
118	Pflicht	23086	true	given	201	_
119	Standpunkt	23198	false	_		_
120	Aufgaben	23806	false	_		_
121	Recht	23790	true	given	150	_
122	Aufgaben	23724	false	_		_
123	Entscheidungen	23681	false	_		_
124	Recht	23668	false	_		_
125	Recht	23614	false	_		_
126	Rechte	23618	false	_		_
127	Recht	23606	true	given	138	_
128	Ziel	23545	true	given	124	_
129	notwendig	19382	false	_		_
130	Gründe	19390	true	given	159 116 115	_
131	Grundbedürfnisse	12429	false	_		_
132	Aktivitäten	12474	true	implicit		_
133	Recht	22667	true	given	181	_
134	Formen	18930	true	given	171	_
135	Entscheidungen	13537	false	_		_
136	Entscheidungen	13540	true	given	147	_
137	Entscheidung	13928	true	given	148	_
138	Standpunkt	14008	false	_		_
139	Möglichkeiten	13787	false	_		_
140	Möglichkeiten	22964	true	given	192	_
141	Möglichkeit	22995	true	given	199	_
142	Auffassung	14030	true	given	142	_
143	Vorschlag	22929	false	_		_
144	Antrag	14088	false	_		_
145	Schwierigkeiten	22756	false	_		_
146	Willen	22722	false	_		_
147	Frage	22890	false	_		_
148	Frage	22882	false	_		_
149	Grund	18414	unclear	given		_
150	Gründe	18187	false	_		_
151	Deshalb	2572	false	_		_
152	Selbstbestimmung	18792	false	_		_
153	daher	7718	false	_		_
154	Ziel	7381	true	given	178	_
155	Lage	7622	false	_		_
156	Vorschlag	7404	false	_		_
157	Meinung	7408	false	_		_
158	Lage	7154	true	given	175	_
159	Ziel	7168	true	given	19	_
160	Ziel	7237	true	given	176	_
161	Annahme	7323	false	_		_
162	Lage	7350	false	_		_
163	Vorschlägen	7375	false	_		_
164	Lage	4183	false	_		_
165	Vorschlag	4197	true	external		_
166	Vorschlages	4088	true	external		_
167	Vorschläge	8414	true	given	191 186	_
168	Vorschlag	4309	true	given	107	_
169	Ansicht	8467	true	given	185	_
170	Lage	8324	false	_		_
171	Vorschlag	4249	true	external		_
172	Notwendigkeit	4199	true	given	104	_
173	Möglichkeit	8220	true	given	194	_
174	Möglichkeit	8623	true	given	188	_
175	Vorschlägen	8536	false	_		_
176	Vorschläge	7836	false	_		_
177	Rechte	7843	false	_		_
178	Auffassung	3964	true	given	51 52 53	_
179	Vorschlägen	7853	false	_		_
180	Ansicht	7892	true	given	169	_
181	Recht	3826	false	_		_
182	Vorschläge	7791	true	given	14 13 16	_
183	Feststellung	3801	true	given	67	_
184	Wünsche	8153	false	_		_
185	Standpunkt	4848	false	_		_
186	Standpunkt	4670	false	_		_
187	Ansicht	4768	true	given	130	_
188	Bemühungen	5016	false	_		_
189	Antrag	4389	false	_		_
190	Vorschlag	4350	true	given	107	_
191	Überzeugung	4491	false	_		_
192	Schwierigkeiten	4518	false	_		_
193	Schwierigkeiten	4528	false	_		_
194	Antrag	4542	false	_		_
195	Vorschlag	4552	true	given	95	_
196	Fragen	4563	true	unclear		_
197	Fragen	6230	false	_		_
198	Bereitschaft	7020	true	given	177	_
199	Möglichkeiten	6858	false	_		_
200	Tatsache	6460	true	given	46	_
201	Ansicht	6594	true	given	48 45	_
202	Lage	6371	false	_		_
203	Frage	5254	true	given	37	_
204	Plan	5274	false	_		_
205	Plan	5323	false	_		_
206	Lage	5992	false	_		_
207	Notwendigkeit	6000	true	given	55	_
208	Plan	6153	false	_		_
209	Ansicht	5555	true	given	34	_
210	Lage	5902	false	_		_
211	Vorschlag	1656	true	external		_
212	Aufgabe	1622	true	given	82	_
213	Meinung	1424	true	implicit		_
214	Forderung	1288	true	given	71	_
215	Forderung	8834	true	given	137	_
216	Möglichkeit	1231	true	given	69	_
217	dafür	2751	false	_		_
218	Vorschlag	8800	false	_		_
219	dazu	2797	false	_		_
220	Vorschläge	8818	false	_		_
221	dafür	2880	false	_		_
