id	ana	ante
1	13	4
2	14	4
3	15	3
4	16	6
5	19	5
6	22	6
7	38	7
8	44	9
9	45	8
10	46	13
11	47	14
12	48	15
13	50	12
14	57	18
15	58	17
16	61	16
17	66	20
18	69	23
19	70	22
20	73	19
21	74	21
22	80	24
23	81	29
24	84	26
25	85	28
26	89	30
27	91	31
28	95	32
29	98	33
30	103	34
31	104	37
32	106	35
33	109	36
34	115	40
35	116	39
36	118	38
37	124	44
38	126	43
39	131	45
40	135	47
41	138	46
42	139	52
43	140	48
44	144	49
45	145	50
46	148	53
47	150	55
48	153	54
49	158	56
50	159	57
51	160	58
52	161	58
53	162	58
54	163	58
55	164	59
56	167	61
57	168	62
58	172	60
59	176	65
60	177	64
61	179	63
62	183	66
63	184	67
64	194	71
65	196	68
66	197	69
67	198	70
68	199	72
69	201	73
70	204	76
71	206	75
72	207	78
73	209	74
74	213	77
75	214	78
76	219	79
77	220	80
78	221	81
79	226	83
80	227	82
81	228	84
82	229	85
83	231	87
84	232	91
85	233	90
86	238	92
87	248	93
88	251	96
89	252	94
90	254	95
91	257	99
92	258	98
93	262	101
94	269	104
95	272	105
96	277	107
97	278	106
98	283	108
99	285	110
100	293	109
101	294	111
102	295	112
103	296	113
104	299	114
105	304	117
106	307	120
107	307	115
108	308	120
109	310	118
110	314	119
111	316	116
112	326	121
113	330	122
114	336	123
115	338	124
116	346	125
117	353	127
118	364	130
119	366	133
120	368	132
121	371	131
122	373	135
123	375	136
124	376	137
125	379	134
126	381	138
127	386	139
128	387	142
129	388	144
130	389	143
131	390	141
132	391	140
133	392	146
134	393	143
135	394	145
136	396	148
137	397	152
138	399	151
139	401	147
140	403	149
141	405	148
142	412	153
143	413	155
144	414	154
145	416	154
146	419	156
147	423	157
148	424	160
149	426	159
150	429	162
151	431	164
152	432	163
153	434	161
154	442	165
155	447	166
156	448	167
157	449	169
158	451	167
159	452	168
160	465	171
161	467	170
162	468	174
163	469	175
164	470	172
165	473	173
166	476	176
167	477	177
168	486	179
169	489	178
170	493	180
171	498	181
172	500	185
173	503	182
174	506	183
175	510	186
176	512	189
177	513	188
178	521	191
179	524	190
180	527	195
181	533	194
182	536	195
183	540	196
184	549	198
185	550	197
186	554	200
187	555	199
188	561	201
189	562	202
190	567	203
191	568	203
192	578	204
193	583	205
194	590	210
195	591	209
196	594	207
197	597	206
198	598	208
199	609	211
200	613	212
201	616	213
202	621	215
203	622	214
204	624	216
205	630	217
206	632	218
207	633	217
208	634	219
209	635	219
210	637	221
211	639	220
212	640	220
213	641	220
214	643	222
215	646	223
