id	text	iset	np_replfirst_noun	annotationcompleted	np_replfirst_deverbal	namely_difficultcase	np_replalternative	np_repl_difficultcase	namely_majordivergingantecedent	candidateanaphor	namelytest_naemlich	np_replfirst_article	namely_antecedent
1	es	35		yes						error_wrong_marking			
2	Es	101		yes						error_wrong_marking			
3	es	28		yes						error_no_discourse_anaphor			
4	es	119		yes						error_wrong_marking			
5	es	709		yes						error_wrong_marking			
6	das	357	na	yes	na	yes	na	yes	yes	discourse_anaphor		na	
7	es	364		yes						error_wrong_marking			
8	es	517		yes						error_wrong_marking			
9	es	717		yes						error_wrong_marking			
10	das	1079		yes						error_wrong_marking			
11	es	945		yes						error_wrong_marking			
12	es	1022		yes						error_wrong_marking			
13	Das	1058	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich ob europol und eurojust genauso in der lage sind, sich um diesen bereich zu kuemmern .	diese	4
14	das	1067	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich ob europol und eurojust genauso in der lage sind, sich um diesen bereich zu kuemmern .	diese	4
15	Das	1036	massnahme	yes	na	na	yes	yes	na	discourse_anaphor	naemlich dass es fuer die von uns erhoffte europaweite telefonaktion , diese hotline , es bisher nur eine ansage gibt:   ' kein anschluss unter dieser nummer ' .	eine_solche	3
16	es	1223	forderung	yes	na	yes	yes	na	na	discourse_anaphor	naemlich dass wir  uns darauf konzentrieren sollten, die rechte , die das parlament hat , der oeffentlichkeit zu zeigen .	diese	6
17	es	1341		yes						deictic			
18	es	1454		yes						error_wrong_marking			
19	Das	1214	vorgang	yes	na	yes	yes	na	na	discourse_anaphor	naemlich dass wir bis mitternacht darueber debattieren und ermahnt werden , wir sollen uns kurz fassen	diese	5
20	es	1445		yes						error_wrong_marking			
21	es	1310		yes						error_wrong_marking			
22	es	1241	forderung	yes	na	na	yes	na	na	discourse_anaphor	naemlich dass wir uns darauf konzentrieren sollten, die rechte, die das parlament hat, der oeffentlichkeit zu zeigen	diese	6
23	Es	1616		yes						error_no_discourse_anaphor			
24	es	1547		yes						error_wrong_marking			
25	es	1793		yes						error_no_discourse_anaphor			
26	das	1604		yes						error_wrong_marking			
27	das	1662		yes						error_wrong_marking			
28	Das	1650		yes						error_wrong_marking			
29	es	1482		yes						error_wrong_marking			
30	das	1694		yes						error_wrong_marking			
31	das	1494		yes						error_wrong_marking			
32	es	1679		yes						error_wrong_marking			
33	Es	1886		yes						error_wrong_marking			
34	Das	1896		yes						error_wrong_marking			
35	Das	1837		yes						error_no_discourse_anaphor			
36	es	1847		yes						error_no_discourse_anaphor			
37	es	2010		yes						error_wrong_marking			
38	Das	1917	ansicht	yes	na	na	na	na	na	discourse_anaphor	naemlich,  religionen und kulturen in der europaeischen union zu hierarchisieren	diese	7
39	Das	1977		yes						error_no_discourse_anaphor			
40	das	1903		yes						error_no_discourse_anaphor			
41	es	1954		yes						error_wrong_marking			
42	es	2046		yes						error_wrong_marking			
