id	ana	ante
1	6	3
2	13	5
3	14	5
4	15	4
5	18	7
6	19	6
7	33	8
8	36	11
9	38	10
10	40	8
11	41	9
12	44	12
13	47	13
14	51	14
15	58	17
16	59	18
17	62	16
18	66	20
19	70	23
20	71	22
21	74	19
22	75	21
23	80	25
24	82	29
25	85	26
26	86	27
27	87	28
28	90	24
29	91	30
30	93	31
31	97	33
32	98	32
33	100	34
34	105	35
35	106	37
36	111	36
37	114	38
38	117	41
39	118	40
40	120	39
41	126	45
42	128	44
43	133	46
44	137	48
45	140	47
46	141	53
47	142	49
48	146	50
49	147	51
50	149	54
51	152	56
52	155	55
53	160	57
54	162	59
55	163	59
56	164	59
57	165	58
58	166	59
59	169	61
60	170	62
61	174	60
62	178	66
63	179	65
64	181	63
65	182	64
66	185	67
67	186	68
68	190	72
69	191	73
70	196	74
71	197	69
72	199	70
73	200	71
74	203	76
75	205	75
76	206	79
77	208	78
78	209	82
79	211	77
80	215	82
81	216	81
82	221	84
83	222	86
84	223	87
85	227	85
86	228	88
87	231	92
88	232	89
89	233	91
90	234	90
91	235	94
92	236	93
93	241	95
94	251	96
95	254	98
96	257	97
97	260	100
98	261	101
99	265	103
100	274	106
101	280	108
102	281	107
103	286	109
104	288	111
105	296	110
106	297	112
107	298	113
108	300	114
109	301	115
110	308	116
111	310	118
112	311	118
113	313	117
114	317	119
115	329	120
116	331	122
117	333	121
118	339	123
119	341	124
120	349	126
121	351	125
122	356	128
123	358	129
124	359	130
125	363	127
126	365	127
127	369	131
128	371	134
129	373	133
130	376	132
131	384	135
132	386	136
133	391	137
134	392	141
135	393	142
136	394	143
137	395	138
138	396	139
139	397	145
140	398	140
141	399	144
142	400	148
143	402	151
144	405	150
145	406	147
146	409	149
147	410	146
148	417	152
149	418	154
150	419	153
151	421	153
152	424	155
153	428	156
154	429	157
155	437	158
156	439	160
157	440	159
158	443	162
159	447	161
160	450	163
161	452	164
162	453	165
163	454	166
164	456	165
165	470	168
166	472	167
167	473	171
168	474	169
169	475	170
170	478	172
171	481	176
172	482	175
173	487	174
174	493	178
175	498	179
176	503	180
177	505	183
178	508	181
179	512	182
180	516	184
181	518	186
182	526	188
183	530	187
184	533	192
185	539	191
186	542	192
187	546	194
188	556	195
189	559	196
190	560	198
191	561	197
192	567	199
193	568	200
194	572	201
195	574	201
196	583	202
197	589	204
198	590	205
199	596	208
200	597	209
201	603	207
202	604	206
203	615	210
204	622	211
205	627	213
206	628	212
207	629	213
208	630	214
209	632	215
210	633	215
211	638	216
212	640	217
213	641	217
214	643	219
215	645	218
216	646	218
217	647	218
218	649	220
219	652	221
