id	sn	cp
1	2	139
2	3	12
3	4	21
4	7	37
5	8	179
6	8	181
7	8	175
8	8	177
9	9	36
10	16	69
11	17	217
12	21	215
13	22	199
14	23	202
15	30	191
16	32	192
17	33	20
18	36	194
19	38	111
20	44	26
21	44	30
22	52	197
23	53	198
24	56	210
25	60	212
26	61	211
27	67	214
28	69	2
29	71	213
30	72	165
31	73	65
32	74	61
33	78	76
34	79	206
35	82	79
36	87	71
37	88	204
38	91	84
39	92	186
40	94	94
41	94	92
42	94	97
43	94	96
44	94	101
45	94	99
46	94	104
47	97	24
48	101	64
49	102	28
50	104	28
51	105	40
52	106	83
53	110	60
54	111	40
55	112	172
56	114	34
57	118	98
58	118	102
59	119	95
60	121	16
61	123	44
62	129	188
63	135	118
64	137	46
65	140	144
66	141	142
67	145	203
68	148	127
69	148	130
70	148	129
71	152	195
72	153	173
73	154	205
74	157	173
75	159	180
76	160	176
77	163	204
78	164	56
79	166	54
80	169	49
81	172	50
82	174	143
83	176	125
84	180	75
85	181	53
86	182	67
87	183	121
88	183	67
89	184	121
90	188	33
91	188	170
92	191	87
93	196	31
94	198	35
95	199	122
96	201	133
97	202	133
98	208	171
99	209	169
100	215	62
101	215	74
102	215	77
103	219	157
104	219	156
105	220	25
106	222	196
107	223	19
108	224	22
109	228	105
110	230	23
111	235	152
112	235	151
113	235	154
114	238	32
115	242	41
116	244	43
117	245	48
118	245	42
119	247	45
120	248	182
121	249	174
122	251	117
123	255	141
124	256	178
125	257	138
126	259	147
127	261	148
128	263	148
129	265	139
130	266	107
131	272	114
132	274	119
133	286	161
134	286	116
135	289	167
136	291	184
137	292	72
138	300	168
139	302	209
140	302	208
141	305	89
142	308	193
143	309	93
144	311	153
145	313	103
146	315	150
147	315	159
148	315	158
149	318	47
150	319	68
151	321	55
152	325	70
153	326	134
154	327	6
155	328	85
156	329	57
157	334	100
158	336	1
159	338	162
160	340	5
161	342	90
162	346	17
163	348	109
164	351	9
165	355	15
166	359	112
167	361	163
168	365	136
169	366	128
170	367	200
171	369	201
172	370	201
173	372	108
174	375	131
175	376	137
176	377	106
177	381	115
178	382	124
179	383	126
180	384	123
181	387	140
182	389	145
183	391	51
184	395	234
185	396	246
186	397	252
187	398	263
188	399	322
189	410	339
190	411	334
191	412	338
192	413	298
193	414	314
194	416	324
195	422	367
196	423	251
197	425	302
198	426	253
199	428	368
200	429	293
201	432	294
202	433	295
203	435	289
204	438	292
205	440	296
206	442	358
207	445	268
208	451	359
209	452	291
210	453	265
211	455	349
212	455	328
213	458	311
214	459	311
215	460	317
216	461	349
217	463	327
218	466	309
219	468	326
220	475	325
221	477	361
222	480	271
223	482	321
224	488	271
225	489	260
226	491	224
227	499	255
228	500	312
229	502	269
230	502	270
231	502	287
232	507	276
233	513	279
234	515	313
235	516	277
236	517	284
237	519	283
238	521	313
239	530	319
240	531	237
241	533	224
242	535	223
243	536	238
244	537	348
245	538	245
246	542	344
247	548	346
248	551	332
249	553	330
250	555	357
251	556	242
252	556	241
253	562	272
254	563	241
255	564	352
256	566	252
257	568	229
258	571	335
259	575	351
260	576	365
261	581	230
262	589	307
263	589	305
264	592	236
265	595	228
266	597	219
267	598	350
268	600	355
269	602	218
270	608	261
271	616	360
272	620	235
273	624	233
274	627	286
275	632	249
276	634	244
277	637	243
278	638	240
279	641	337
280	643	288
281	645	257
282	650	282
283	655	259
284	661	304
285	662	247
286	666	256
287	667	248
288	669	262
289	671	266
290	671	320
291	672	264
292	673	297
293	677	285
294	680	274
295	687	222
296	691	225
297	696	226
298	697	280
299	701	227
300	704	341
301	707	342
302	708	273
303	710	275
304	722	430
