id	text	lemma	sent	source	pos	mother	rel
1	Herr	Herr	1	t_97-05-28_5	NN	10	sb
2	Präsident	Präsident	1	t_97-05-28_5	NN	1	nk
3	,	,	1	t_97-05-28_5	$,	1	punct
4	als	als	1	t_97-05-28_5	APPR	10	mo
5	erster	erst	1	t_97-05-28_5	ADJA	6	nk
6	Punkt	Punkt	1	t_97-05-28_5	NN	4	nk
7	auf	auf	1	t_97-05-28_5	APPR	4	mo
8	der	der	1	t_97-05-28_5	ART	9	nk
9	Tagesordnung	Tagesordnung	1	t_97-05-28_5	NN	7	nk
10	steht	stehen	1	t_97-05-28_5	VVFIN	10	ROOT
11	eine	einen	1	t_97-05-28_5	ART	12	nk
12	Mitteilung	Mitteilung	1	t_97-05-28_5	NN	10	sb
13	der	der	1	t_97-05-28_5	ART	14	nk
14	Kommission	Kommission	1	t_97-05-28_5	NN	12	ag
15	zu	zu	1	t_97-05-28_5	PTKZU	16	pm
16	dringlichen	dringlich	1	t_97-05-28_5	VVINF	20	nk
17	und	und	1	t_97-05-28_5	KON	16	cd
18	wichtigen	wichtig	1	t_97-05-28_5	ADJA	17	cj
19	politischen	politisch	1	t_97-05-28_5	ADJA	20	nk
20	Fragen	Frage	1	t_97-05-28_5	NN	10	da
21	.	.	1	t_97-05-28_5	$.	10	punct
22	Ich	Ich	2	t_97-05-28_5	PPER	23	sb
23	möchte	mögen	2	t_97-05-28_5	VMFIN	23	ROOT
24	eine	einen	2	t_97-05-28_5	ART	25	nk
25	Frage	Frage	2	t_97-05-28_5	NN	33	oa
26	zu	zu	2	t_97-05-28_5	APPR	25	op
27	dem	der	2	t_97-05-28_5	ART	29	nk
28	norwegischen	norwegisch	2	t_97-05-28_5	ADJA	29	nk
29	Lachsdumping	Lachsdumping	2	t_97-05-28_5	NN	26	nk
30	und	und	2	t_97-05-28_5	KON	29	cd
31	den	der	2	t_97-05-28_5	ART	32	nk
32	Lachssubventionen	Lachssubventionen	2	t_97-05-28_5	NN	30	cj
33	stellen	stellen	2	t_97-05-28_5	VVINF	23	oc
34	,	,	2	t_97-05-28_5	$,	33	punct
35	die	der	2	t_97-05-28_5	PRELS	40	sb
36	nicht	nicht	2	t_97-05-28_5	PTKNEG	40	ng
37	auf	auf	2	t_97-05-28_5	APPR	40	mo
38	der	der	2	t_97-05-28_5	ART	39	nk
39	Tagesordnung	Tagesordnung	2	t_97-05-28_5	NN	37	nk
40	stehen	stehen	2	t_97-05-28_5	VVINF	25	rc
41	.	.	2	t_97-05-28_5	$.	23	punct
42	Es	Es	3	t_97-05-28_5	PPER	43	sb
43	wurde	werden	3	t_97-05-28_5	VAFIN	43	ROOT
44	festgestellt	feststellen	3	t_97-05-28_5	VVPP	43	oc
45	,	,	3	t_97-05-28_5	$,	43	punct
46	daß	daß	3	t_97-05-28_5	KOUS	50	cp
47	die	der	3	t_97-05-28_5	ART	49	nk
48	Norweger	Norweger	3	t_97-05-28_5	ADJA	49	nk
49	Schuld	Schuld	3	t_97-05-28_5	NN	50	sb
50	haben	haben	3	t_97-05-28_5	VAFIN	42	re
51	,	,	3	t_97-05-28_5	$,	43	punct
52	und	und	3	t_97-05-28_5	KON	43	cd
53	das	der	3	t_97-05-28_5	ART	54	nk
54	Strafmaß	Strafmaß	3	t_97-05-28_5	NN	55	sb
55	sollte	sollen	3	t_97-05-28_5	VMFIN	52	cj
56	bis	bis	3	t_97-05-28_5	APPR	57	ac
57	zum	zum	3	t_97-05-28_5	APPRART	61	mo
58	Ende	enden	3	t_97-05-28_5	NN	57	nk
