id	text	iset	np_replfirst_noun	annotationcompleted	np_replfirst_deverbal	namely_difficultcase	np_replalternative	np_repl_difficultcase	namely_majordivergingantecedent	candidateanaphor	namelytest_naemlich	np_replfirst_article	namely_antecedent
1	dies	113	umstand	yes	na	na	na	na	na	discourse_anaphor	naemlich dass inner nehr naenner und frauen im erwerbsfaehigen alter sterben	diese	2
2	es	35		yes						error_wrong_marking			
3	es	119		yes						error_wrong_marking			
4	es	28	massnahme	yes	na	na	na	na	yes	discourse_anaphor	naemlich was getan wurde	diese	1
5	Es	101		yes						error_wrong_marking			
6	es	364		yes						error_wrong_marking			
7	es	517		yes						error_wrong_marking			
8	es	717		yes						error_wrong_marking			
9	das	357	na	yes	na	yes	na	na	na	discourse_anaphor		na	
10	es	709		yes						error_wrong_marking			
11	Das	1058		yes						error_no_discourse_anaphor			
12	das	1079		yes						error_no_discourse_anaphor			
13	das	1067		yes						error_no_discourse_anaphor			
14	Das	1036		yes						deictic			
15	es	1022		yes						error_no_discourse_anaphor			
16	es	945		yes						error_no_discourse_anaphor			
17	Das	1214	vorgang	na	na	na	yes	yes	na	discourse_anaphor	dass wir debattieren darueber kurz vor mitternacht und werden ermahnt , wir sollen uns kurz fassen	eine_solche	3
18	es	1341		yes						error_no_discourse_anaphor			
19	es	1445		yes						error_no_discourse_anaphor			
20	es	1454		yes						error_no_discourse_anaphor			
21	es	1223	ansicht	yes	na	na	yes	na	na	discourse_anaphor	dass wir sollten uns darauf konzentrieren , die rechte , die das parlament hat , der oeffentlichkeit zu zeigen .	diese	4
22	es	1241	ansicht	yes	na	na	yes	na	na	discourse_anaphor	dass wir sollten uns darauf konzentrieren , die rechte , die das parlament hat , der oeffentlichkeit zu zeigen .	diese	4
23	es	1310		yes						error_no_discourse_anaphor			
24	es	1482		yes						error_wrong_marking			
25	es	1547		yes						error_wrong_marking			
26	was	1652											
27	was	1606											
28	was	1696											
29	das	1662		yes						error_wrong_marking			
30	Das	1650		yes						error_wrong_marking			
31	was	1664											
32	das	1694		yes						error_wrong_marking			
33	das	1604		yes						error_wrong_marking			
34	das	1494		yes						error_wrong_marking			
35	es	1793		yes						error_no_discourse_anaphor			
36	es	1679		yes						error_wrong_marking			
37	Es	1616		yes						error_no_discourse_anaphor			
38	Das	1977		yes						error_no_discourse_anaphor			
39	es	1851		yes						error_wrong_marking			
40	es	2010		yes						error_wrong_marking			
41	Das	1917	ansicht	yes	na	na	na	na	na	discourse_anaphor	naemlich kulturen und religionen in der europaeischen union zu hierarchisieren	diese	6
42	Es	1886		yes						error_wrong_marking			
43	das	1992	ansicht	yes	na	na	na	na	na	discourse_anaphor	naemlich dass man es ernst nehmen muss	diese	7
