id	text	iset	shellnoun	content	content_phrase	comment
1	Beschäftigungsziele	9285	false	_		_
2	Hauptziele	9804	true	given	139	_
3	Innovationsnotwendigkeit	9667	true	given	12	_
4	Gründen	17339	true	given	21	_
5	Bedürfnisse	7521	false	_		_
6	Vorstellungen	17564	false	_		_
7	Begründung	17828	true	given	37	_
8	Gründen	18020	true	given	179 181 175 177	_
9	Schlussfolgerung	17805	true	given	36	_
10	Bedürfnisse	7808	false	_		_
11	Bedürfnisse	8155	false	_		_
12	Gründen	8333	false	_		_
13	Darum	23571	false	_		_
14	Recht	3034	false	_		_
15	Recht	2998	false	_		_
16	Vorstellung	23634	true	given	69	_
17	Forderung	3052	true	given	217	_
18	Forderungen	3119	false	_		_
19	Recht	3099	false	_		_
20	Mühe	3246	false	_		_
21	Vorschlag	3168	true	given	215	_
22	Notwendigkeit	3650	true	given	199	_
23	Eindruck	3750	true	given	202	_
24	Konvergenzziele	5459	false	_		_
25	Fakten	24204	false	_		_
26	Erfordernissen	5964	false	_		_
27	Lage	12070	false	_		_
28	Lage	12083	false	_		_
29	Frage	12185	true	external		_
30	Möglichkeit	1231	true	given	191	_
31	Vorschlag	21798	true	external		_
32	Forderung	1288	true	given	192	_
33	Ziele	12706	true	given	20	_
34	Lage	12623	false	_		_
35	Meinung	1424	true	implicit		_
36	Aufgabe	1622	true	given	194	_
37	Vorschlag	1656	true	external		_
38	Glauben	22141	true	given	111	_
39	Fragen	12848	false	_		_
40	Fragen	12905	false	_		_
41	Standpunkt	1701	true	implicit		_
42	Fragen	12857	false	_		_
43	Antrag	1698	false	_		_
44	Meinung	12996	true	given	26 30	_
45	Annahme	1811	false	_		_
46	Schwierigkeiten	12962	false	_		_
47	Antrag	1785	false	_		_
48	Rechte	13246	false	_		_
49	Antrag	1831	false	_		_
50	Frage	13052	false	_		_
51	Anträge	1814	false	_		_
52	Auffassung	1893	true	given	197	_
53	Frage	1875	true	given	198	_
54	dafür	2751	false	_		_
55	Verpflichtungen	1989	true	implicit		_
56	Frage	1905	true	given	210	_
57	dafür	2880	false	_		_
58	dazu	2797	false	_		_
59	Umständen	2014	false	_		_
60	Frage	2155	true	given	212	_
61	Tatsache	2189	true	given	211	_
62	Umständen	2184	true	implicit		_
63	Bedarf	22770	false	_		_
64	dessen	4828	false	_		_
65	Recht	2210	false	_		_
66	Entscheidungen	2351	false	_		_
67	Forderung	2259	true	given	214	_
68	Forderungen	2465	true	implicit		_
69	Forderung	2618	true	given	2	_
70	Frage	2728	false	_		_
71	Forderungen	2715	true	given	213	_
72	Bereitschaft	2796	true	given	165	_
73	Überzeugung	16572	true	given	65	_
74	Auffassung	16551	true	given	61	_
75	Schwierigkeiten	4528	false	_		_
76	Umständen	16593	false	_		_
77	Schwierigkeiten	4518	false	_		_
78	Forderung	16616	true	given	76	_
79	Vorschlag	4552	true	given	206	_
80	Antrag	4542	false	_		_
81	Entscheidung	16709	false	_		_
82	Möglichkeit	16670	true	given	79	_
83	Fragen	4563	true	unclear		_
84	Vorschläge	16741	false	_		_
85	Entscheidungen	16724	false	_		_
86	Antrag	4389	false	_		_
87	Möglichkeiten	16529	true	given	71	_
88	Vorschlag	4350	true	given	204	_
89	Überzeugung	4491	false	_		_
90	Entscheidungen	16837	false	_		_
91	Hoffnung	16896	true	given	84	_
92	Ansicht	4768	true	given	186	_
93	Standpunkt	4670	false	_		_
94	Aufgaben	17227	true	given	94 92 97 96 101 99 104	_
95	Standpunkt	4848	false	_		_
96	Bemühungen	5016	false	_		_
97	Vorschlag	17375	true	given	24	_
98	Plan	5323	false	_		_
99	Plan	5274	false	_		_
100	Vorschlag	17561	false	_		_
101	Ansicht	5555	true	given	64	_
102	Plan	17690	true	given	28	_
103	Lage	5902	false	_		_
104	Vorschlag	17651	true	given	28	_
105	Ziele	17846	true	given	40	_
106	Notwendigkeit	6000	true	given	83	_
107	Vorschlag	17790	false	_		_
108	Lage	5992	false	_		_
109	Plan	6153	false	_		_
110	Frage	5254	true	given	60	_
111	Ziele	17866	true	given	40	_
112	Ziele	17997	true	given	172	_
113	Tendenz	17889	false	_		_
114	Vorschlag	18033	true	given	34	_
115	Vorschlags	18027	false	_		_
116	Fragen	6230	false	_		_
117	Lage	6371	false	_		_
118	Ansicht	6594	true	given	98 102	_
119	Tatsache	6460	true	given	95	_
120	Möglichkeiten	6858	false	_		_
121	Bereitschaft	7020	true	given	16	_
122	Antrag	14442	false	_		_
123	Frage	14580	true	given	44	_
124	Frage	14695	false	_		_
125	Entscheidungen	14654	false	_		_
126	Vorschläge	14233	false	_		_
127	Recht	14404	false	_		_
128	Bedürfnisse	837	false	_		_
129	Grund	721	true	given	188	_
130	Frage	15127	true	external		_
131	Sofortmaßnahmen	889	false	_		_
132	Umstand	14992	true	implicit		_
133	Beschluss	15209	false	_		_
134	Auffassung	15189	false	_		_
135	Frage	15215	true	given	118	_
136	Hinweis	14891	false	_		_
137	Überzeugung	14701	true	given	46	_
138	Möglichkeiten	14899	false	_		_
139	Bedürfnisse	1003	true	implicit		_
140	Voraussetzung	15648	true	given	144	_
141	Voraussetzung	15541	true	given	142	_
142	Bedürfnisse	1032	true	implicit		_
143	Recht	3826	false	_		_
144	Wille	15665	false	_		_
145	Feststellung	3801	true	given	203	_
146	Voraussetzung	15860	false	_		_
147	Vorschlägen	15854	false	_		_
148	Auffassung	3964	true	given	127 130 129	_
149	Gefahren	15399	false	_		_
150	Meinung	15303	false	_		_
151	Ziel	15461	false	_		_
152	Zusagen	1546	true	given	195	_
153	Gefahr	16058	true	given	173	_
154	Notwendigkeit	4199	true	given	205	_
155	Hinweis	16050	false	_		_
156	Antrag	16133	false	_		_
157	Gefahr	16076	true	given	173	_
158	Vorschlag	4249	false	_		_
159	Antrag	16246	true	given	180	_
160	Antrag	16189	true	given	176	_
161	Lage	16334	false	_		_
162	daher	7718	false	_		_
163	Vorschlag	4309	true	given	204	_
164	Auffassung	15997	true	given	56	_
165	Vorschlages	4088	false	_		_
166	Forderung	15976	true	given	54	_
167	Vorschlag	4197	false	_		_
168	Lage	4183	false	_		_
169	Eindruck	23475	true	given	49	_
170	Frage	23463	false	_		_
171	Recht	23535	false	_		_
172	Eindruck	23487	true	given	50	_
173	Standpunkt	23198	false	_		_
174	Pflicht	23086	true	given	143	_
175	Rechts	23416	false	_		_
176	Recht	23668	true	given	125	_
177	Aufgaben	23724	false	_		_
178	Entscheidungen	23681	false	_		_
179	Aufgaben	23806	false	_		_
180	Recht	23790	true	given	75	_
181	Ziel	23545	true	given	53	_
182	Recht	23606	true	given	67	_
183	Rechte	23618	true	given	121 67	_
184	Recht	23614	true	given	121	_
185	Fragen	24297	false	_		_
186	Entscheidungen	13537	false	_		_
187	Entscheidung	24344	true	external		_
188	Entscheidungen	13540	true	given	33 170	_
189	Vorschlag	23986	true	external		_
190	Antrag	23823	false	_		_
191	Meinung	24166	true	given	87	_
192	Ansicht	24072	false	_		_
193	Möglichkeiten	13787	false	_		_
194	Gründe	139	true	external		_
195	Standpunkt	14008	false	_		_
196	Entscheidung	13928	true	given	31	_
197	Antrag	14088	false	_		_
198	Auffassung	14030	true	given	35	_
199	Recht	22667	true	given	122	_
200	Vorschlag	22929	false	_		_
201	Möglichkeit	22995	true	given	133	_
202	Möglichkeiten	22964	true	given	133	_
203	Schwierigkeiten	22756	false	_		_
204	Willen	22722	false	_		_
205	Frage	22890	false	_		_
206	Frage	22882	false	_		_
207	Deshalb	2572	false	_		_
208	Aktivitäten	12474	true	given	171	_
209	Grundbedürfnisse	12429	true	given	169	_
210	Kommissionsvorschlag	14041	false	_		_
211	Schluss	14255	false	_		_
212	Tat	15066	false	_		_
213	Vorgaben	14472	false	_		_
214	Vorstellungen	10766	false	_		_
215	Gründe	19390	true	given	62 74 77	_
216	notwendig	19382	false	_		_
217	Ende	19969	false	_		_
218	Schlussfolgerungen	19881	true	external		_
219	Gründe	11971	true	given	157 156	_
220	Anstrengungen	20076	true	given	25	_
221	Abschluss	19988	false	_		_
222	Ziel	7168	true	given	196	_
223	Lage	7154	true	given	19	_
224	Ziel	7237	true	given	22	_
225	Annahme	7323	false	_		_
226	Gründe	18187	false	_		_
227	Vorschlägen	7375	false	_		_
228	Grund	18414	true	given	105	_
229	Lage	7350	false	_		_
230	Ziel	7381	true	given	23	_
231	Meinung	7408	false	_		_
232	Vorschlag	7404	false	_		_
233	Lage	7622	false	_		_
234	Selbstbestimmung	18792	false	_		_
235	Vorschläge	7791	true	given	152 151 154	_
236	Rechte	7843	false	_		_
237	Vorschläge	7836	false	_		_
238	Ansicht	7892	true	given	32	_
239	Vorschlägen	7853	false	_		_
240	Formen	18930	false	_		_
241	Wünsche	8153	false	_		_
242	Möglichkeit	8220	true	given	41	_
243	Lage	8324	false	_		_
244	Ansicht	8467	true	given	43	_
245	Vorschläge	8414	true	given	48 42	_
246	Vorschlägen	8536	false	_		_
247	Möglichkeit	8623	true	given	45	_
248	Auffassung	21362	true	given	182	_
249	Frage	21603	true	given	174	_
250	Entscheidung	9974	false	_		_
251	Standpunkt	21644	true	given	117	_
252	Bemühungen	10033	false	_		_
253	Auffassung	21641	false	_		_
254	Entscheidung	10006	false	_		_
255	Frage	10205	true	given	141	_
256	Antrag	21678	true	given	178	_
257	Versuch	10077	true	given	138	_
258	Frage	21850	false	_		_
259	Ansicht	10288	true	given	147	_
260	Entscheidung	10228	false	_		_
261	Möglichkeit	10397	true	given	148	_
262	Fragen	21954	false	_		_
263	Möglichkeit	10346	true	given	148	_
264	Lage	9850	false	_		_
265	Ziel	9830	true	given	139	_
266	Gelegenheit	21982	true	given	107	_
267	Fragen	21964	false	_		_
268	Meinung	21986	false	_		_
269	Recht	122	false	_		_
270	Frage	10679	false	_		_
271	Frage	25	false	_		_
272	Frage	22020	true	given	114	_
273	Entscheidung	10610	false	_		_
274	Eindruck	22450	true	given	119	_
275	Vorschlag	131	true	external		_
276	Standpunktes	22334	false	_		_
277	Antrag	10776	false	_		_
278	Frage	10782	false	_		_
279	Umständen	360	false	_		_
280	Lage	10874	false	_		_
281	Fragen	20	false	_		_
282	Frage	10953	false	_		_
283	Recht	524	false	_		_
284	Rechte	11014	false	_		_
285	Voraussetzung	10999	false	_		_
286	Schlussfolgerungen	21112	true	given	161 116	_
287	Recht	658	false	_		_
288	Fragen	11104	false	_		_
289	Ansicht	558	true	given	167	_
290	Fragen	11087	false	_		_
291	Bereitschaft	674	true	given	184	_
292	Frage	11219	true	given	72	_
293	Standpunkt	671	false	_		_
294	Recht	11217	false	_		_
295	Schlussfolgerungen	21207	false	_		_
296	Fragen	11443	false	_		_
297	Lage	11439	false	_		_
298	Recht	758	false	_		_
299	Lage	11464	false	_		_
