id	text	source
1	Herr	t_97-05-28_5
2	Präsident	t_97-05-28_5
3	,	t_97-05-28_5
4	als	t_97-05-28_5
5	erster	t_97-05-28_5
6	Punkt	t_97-05-28_5
7	auf	t_97-05-28_5
8	der	t_97-05-28_5
9	Tagesordnung	t_97-05-28_5
10	steht	t_97-05-28_5
11	eine	t_97-05-28_5
12	Mitteilung	t_97-05-28_5
13	der	t_97-05-28_5
14	Kommission	t_97-05-28_5
15	zu	t_97-05-28_5
16	dringlichen	t_97-05-28_5
17	und	t_97-05-28_5
18	wichtigen	t_97-05-28_5
19	politischen	t_97-05-28_5
20	Fragen	t_97-05-28_5
21	.	t_97-05-28_5
22	Ich	t_97-05-28_5
23	möchte	t_97-05-28_5
24	eine	t_97-05-28_5
25	Frage	t_97-05-28_5
26	zu	t_97-05-28_5
27	dem	t_97-05-28_5
28	norwegischen	t_97-05-28_5
29	Lachsdumping	t_97-05-28_5
30	und	t_97-05-28_5
31	den	t_97-05-28_5
32	Lachssubventionen	t_97-05-28_5
33	stellen	t_97-05-28_5
34	,	t_97-05-28_5
35	die	t_97-05-28_5
36	nicht	t_97-05-28_5
37	auf	t_97-05-28_5
38	der	t_97-05-28_5
39	Tagesordnung	t_97-05-28_5
40	stehen	t_97-05-28_5
41	.	t_97-05-28_5
42	Es	t_97-05-28_5
43	wurde	t_97-05-28_5
44	festgestellt	t_97-05-28_5
45	,	t_97-05-28_5
46	daß	t_97-05-28_5
47	die	t_97-05-28_5
48	Norweger	t_97-05-28_5
49	Schuld	t_97-05-28_5
50	haben	t_97-05-28_5
51	,	t_97-05-28_5
52	und	t_97-05-28_5
53	das	t_97-05-28_5
54	Strafmaß	t_97-05-28_5
55	sollte	t_97-05-28_5
56	bis	t_97-05-28_5
57	zum	t_97-05-28_5
58	Ende	t_97-05-28_5
59	der	t_97-05-28_5
60	Woche	t_97-05-28_5
61	bekanntgegeben	t_97-05-28_5
62	werden	t_97-05-28_5
63	.	t_97-05-28_5
64	Ich	t_97-05-28_5
65	fordere	t_97-05-28_5
66	den	t_97-05-28_5
