id	sn	cp
1	1	13
2	6	14
3	7	22
4	11	97
5	12	94
6	13	143
7	14	26
8	14	27
9	15	93
10	19	132
11	21	126
12	23	130
13	26	42
14	27	72
15	28	41
16	30	96
17	30	99
18	31	37
19	32	38
20	33	115
21	33	116
22	35	109
23	37	107
24	40	58
25	44	185
26	46	198
27	47	62
28	49	195
29	50	77
30	51	152
31	51	154
32	52	165
33	53	154
34	53	152
35	57	89
36	58	56
37	59	55
38	61	84
39	71	57
40	73	48
41	77	111
42	80	110
43	84	155
44	85	120
45	87	136
46	88	142
47	89	199
48	89	200
49	90	137
50	91	145
51	92	166
52	94	151
53	95	150
54	96	18
55	98	19
56	101	163
57	103	166
58	103	168
59	104	168
60	107	149
61	110	178
62	113	134
63	113	133
64	114	129
65	116	23
66	117	106
67	120	194
68	122	21
69	125	206
70	126	206
71	127	203
72	130	206
73	131	80
74	132	211
75	134	189
76	134	188
77	134	187
78	134	184
79	134	183
80	134	182
81	134	181
82	136	2
83	142	20
84	143	21
85	146	24
86	150	45
87	152	44
88	153	146
89	153	147
90	153	139
91	155	157
92	156	159
93	160	49
94	160	79
95	161	83
96	166	78
97	167	74
98	168	32
99	169	32
100	171	50
101	174	43
102	176	34
103	177	31
104	177	33
105	181	81
106	182	81
107	183	82
108	184	40
109	185	144
110	187	39
111	188	28
112	189	29
113	191	30
114	194	59
115	196	92
116	197	95
117	199	90
118	200	36
119	200	35
120	203	80
121	205	25
122	206	3
123	207	1
124	211	9
125	215	102
126	219	67
127	221	66
128	223	68
129	226	64
130	227	73
131	231	47
132	231	191
133	232	69
134	236	100
135	237	51
136	239	98
137	240	98
138	242	104
139	246	53
140	251	125
141	251	124
142	253	101
143	256	6
144	256	4
145	256	5
146	258	160
147	258	162
148	258	153
149	259	12
150	260	167
151	261	167
152	262	65
153	264	180
154	267	75
155	268	105
156	269	193
157	272	190
158	275	76
159	278	46
160	279	103
161	280	71
162	288	88
163	293	207
164	296	70
165	297	85
166	298	91
167	300	205
168	302	208
169	303	212
170	303	213
171	305	173
172	307	10
173	307	16
174	307	17
175	307	15
176	308	108
177	310	113
178	311	114
179	313	148
180	316	118
181	319	112
182	320	112
183	322	127
184	323	135
185	326	138
186	334	170
187	336	117
188	339	87
189	348	172
190	350	174
191	351	179
192	356	192
193	359	196
194	360	197
195	362	202
196	373	209
197	375	214
198	379	282
199	380	265
200	384	268
201	389	314
202	391	290
203	399	287
204	400	270
205	402	342
206	403	298
207	404	288
208	405	347
209	409	339
210	410	343
211	411	231
212	414	215
213	414	216
214	415	247
215	419	232
216	420	224
217	423	281
218	423	278
219	424	281
220	424	278
221	426	302
222	428	243
223	432	279
224	433	249
225	434	259
226	435	292
227	436	233
228	437	244
229	438	242
230	439	257
231	440	250
232	443	218
233	444	294
234	445	336
235	446	322
236	449	324
237	451	323
238	453	224
239	455	225
240	459	229
241	460	291
242	461	293
243	464	330
244	466	284
245	471	349
246	471	348
247	477	230
248	478	309
249	481	307
250	483	304
251	485	311
252	489	308
253	492	332
254	493	222
255	494	317
256	494	319
257	502	260
258	503	223
259	505	226
260	512	261
261	514	262
262	514	263
263	518	267
264	519	271
265	521	245
266	532	321
267	535	256
268	538	275
269	549	258
270	551	344
271	552	276
272	554	241
273	557	240
274	558	345
275	561	285
276	563	297
277	576	299
278	579	295
279	580	337
280	580	338
281	582	300
282	584	301
283	589	296
284	591	228
285	594	305
286	595	335
287	600	306
288	607	313
289	613	315
290	618	316
291	622	303
292	625	217
293	627	219
294	631	255
295	632	253
296	633	252
297	639	237
298	639	239
299	641	236
300	642	237
301	643	238
302	651	329
303	652	329
304	653	331
305	655	235
306	656	351
307	656	346
308	656	350
309	657	356
310	659	353
311	662	354
312	665	341
313	665	347
314	667	318
315	669	352
316	670	355
317	674	359
318	675	360
319	678	370
320	684	383
321	686	390
322	688	387
323	689	391
324	690	389
325	694	398
326	701	502
327	702	492
328	703	502
329	706	472
330	707	477
331	708	501
332	709	478
333	712	457
334	715	460
335	716	438
336	718	412
337	720	435
338	721	425
339	723	442
340	725	440
341	726	438
342	730	364
343	732	465
344	733	470
345	734	395
346	735	468
347	737	471
348	744	371
349	748	382
350	750	381
351	752	446
352	753	444
353	754	469
354	755	511
355	756	455
356	758	533
357	759	380
358	762	385
359	763	369
360	781	363
361	783	379
362	784	379
363	786	429
364	788	361
365	790	397
366	790	396
367	792	399
368	793	392
369	797	404
370	797	406
371	799	402
372	801	526
373	802	405
374	806	466
375	808	409
376	810	411
377	812	531
378	813	535
379	815	408
380	817	496
381	819	531
382	821	416
383	821	415
384	821	420
385	825	414
386	825	410
387	833	401
388	833	400
389	833	376
390	835	377
391	839	473
392	843	418
393	846	418
394	850	422
395	851	456
396	852	452
397	857	407
398	863	403
399	864	419
400	867	516
401	868	428
402	869	504
403	871	508
404	873	430
405	876	489
406	878	421
407	880	431
408	882	432
409	885	407
410	890	436
411	890	437
412	893	481
413	901	441
414	905	373
415	909	448
416	920	449
417	920	445
418	922	459
419	925	365
420	930	467
421	933	462
422	941	451
423	942	447
424	947	534
425	948	529
426	949	532
427	955	476
428	963	487
429	965	375
430	966	482
431	967	483
432	971	488
433	973	485
434	978	491
435	979	491
436	980	494
437	980	493
438	980	519
439	980	520
440	981	507
441	981	505
442	981	509
443	983	498
444	984	439
445	985	495
446	986	453
447	990	384
448	991	386
449	993	506
450	994	506
451	996	475
452	997	417
453	998	423
454	999	424
455	1000	426
456	1008	503
457	1011	512
458	1013	513
459	1015	514
460	1016	515
461	1019	518
462	1020	517
463	1020	510
464	1022	362
465	1024	522
466	1025	523
467	1025	521
468	1025	525
469	1028	530
470	1028	528
