id	sn	cp
1	1	2
2	3	170
3	8	36
4	10	50
5	12	219
6	13	219
7	18	221
8	19	220
9	20	70
10	24	75
11	25	180
12	26	139
13	27	136
14	29	197
15	30	89
16	31	113
17	34	198
18	36	136
19	36	75
20	38	201
21	41	95
22	42	90
23	44	115
24	48	107
25	48	112
26	48	18
27	48	17
28	48	22
29	48	19
30	48	24
31	50	20
32	51	161
33	51	160
34	52	8
35	53	110
36	54	193
37	56	174
38	58	182
39	60	195
40	63	130
41	64	25
42	65	29
43	66	134
44	70	138
45	72	212
46	76	215
47	80	147
48	83	218
49	84	156
50	85	150
51	87	149
52	89	214
53	93	88
54	94	84
55	95	203
56	96	206
57	97	203
58	99	188
59	101	96
60	102	168
61	102	166
62	103	100
63	104	30
64	106	27
65	110	163
66	111	186
67	113	44
68	116	34
69	118	85
70	120	99
71	121	102
72	123	46
73	125	176
74	125	175
75	126	48
76	128	176
77	128	175
78	130	184
79	133	187
80	134	49
81	141	7
82	143	192
83	145	153
84	146	202
85	147	194
86	150	200
87	151	61
88	152	200
89	153	63
90	159	204
91	162	72
92	163	66
93	164	62
94	165	67
95	166	68
96	167	86
97	170	91
98	172	39
99	173	3
100	175	207
101	175	208
102	176	51
103	181	209
104	184	144
105	186	147
106	190	21
107	193	26
108	200	45
109	203	53
110	207	65
111	209	64
112	218	81
113	221	97
114	224	172
115	226	164
116	226	159
117	226	158
118	231	196
119	234	28
120	238	137
121	239	37
122	239	41
123	239	40
124	240	35
125	242	141
126	243	42
127	245	119
128	246	140
129	249	146
130	251	47
131	257	54
132	257	55
133	258	154
134	259	58
135	261	152
136	263	60
137	266	120
138	268	157
139	269	129
140	271	122
141	274	135
142	276	133
143	278	80
144	280	205
145	284	190
146	285	126
147	287	92
148	289	189
149	290	93
150	291	178
151	294	132
152	296	124
153	297	87
154	301	74
155	301	73
156	301	77
157	302	69
158	307	4
159	309	108
160	310	76
161	313	118
162	315	101
163	316	12
164	317	11
165	319	9
166	320	16
167	321	31
168	322	15
169	326	5
170	329	162
171	330	14
172	331	169
173	331	128
174	332	14
175	333	167
176	338	13
177	340	177
178	342	116
179	342	114
180	342	123
181	342	125
182	343	121
183	344	143
184	344	142
185	345	117
186	347	52
187	350	199
188	357	131
189	362	145
190	364	148
191	368	210
192	369	211
193	371	216
194	374	217
195	375	213
196	376	222
197	378	228
198	380	314
199	380	310
200	381	237
201	382	235
202	389	258
203	391	268
204	394	309
205	396	271
206	397	275
207	399	289
208	400	280
209	401	233
210	411	296
211	420	313
212	424	325
213	435	322
214	436	249
215	436	248
216	437	322
217	438	248
218	439	250
219	440	373
220	441	242
221	443	303
222	444	257
223	445	300
224	447	370
225	450	302
226	451	304
227	453	260
228	454	262
229	459	269
230	462	318
231	463	298
232	464	319
233	465	320
234	466	312
235	467	321
236	471	315
237	472	315
238	474	317
239	476	327
240	477	331
241	481	367
242	484	261
243	485	291
244	488	323
245	490	232
246	492	266
247	493	273
248	494	284
249	495	305
250	497	236
251	499	311
252	500	273
253	501	308
254	508	324
255	511	326
256	512	359
257	514	363
258	516	279
259	516	277
260	516	294
261	519	287
262	520	372
263	521	336
264	521	337
265	522	330
