id	text	iset	shellnoun	content	content_phrase	comment
1	call	9040	true	given	2	_
2	opinion	9720	false	_		_
3	potential	9591	true	given	170	_
4	question	9922	true	external		_
5	question	10052	false	_		_
6	situation	7558	false	_		_
7	situation	7810	false	_		_
8	plan	18636	true	given	36	_
9	rights	8034	false	_		_
10	way	8421	true	given	50	_
11	circumstances	8527	false	_		_
12	idea	2932	true	given	219	_
13	idea	3017	true	given	219	_
14	doubt	2967	false	_		_
15	decisions	3037	true	implicit		_
16	conditions	16666	false	_		_
17	conclusion	3022	false	_		_
18	assurances	3357	true	given	221	_
19	proposals	3318	true	given	220	_
20	call	16785	true	given	70	_
21	risk	16866	false	_		_
22	amendment	16953	false	_		_
23	risk	16891	false	_		_
24	right	24873	true	given	75	_
25	application	17013	true	given	180	_
26	right	24936	true	given	139	_
27	right	24880	true	given	136	_
28	Plan	5479	false	_		_
29	claim	3570	true	given	197	_
30	right	25065	true	given	89	_
31	application	17072	true	given	113	_
32	ideas	3517	true	implicit		_
33	duties	24990	false	_		_
34	claims	3580	true	given	198	_
35	duties	25085	false	_		_
36	rights	24886	true	given	136 75	_
37	Plan	5544	false	_		_
38	need	3778	true	given	201	_
39	circumstances	17380	false	_		_
40	point	25098	false	_		_
41	request	17411	true	given	95	_
42	capacity	6124	true	given	90	_
43	view	25383	false	_		_
44	option	17455	true	given	115	_
45	situations	6211	false	_		_
46	Plan	6359	false	_		_
47	issues	6423	false	_		_
48	functions	18044	true	given	107 112 18 17 22 19 24	_
49	ways	7049	false	_		_
50	willingness	7242	true	given	20	_
51	reasons	12335	true	given	161 160	_
52	chance	1164	true	given	8	_
53	fact	12708	true	given	110	_
54	possibility	1270	true	given	193	_
55	issue	22953	false	_		_
56	efforts	12847	true	given	174	_
57	issues	23085	false	_		_
58	needs	12795	true	given	182	_
59	issues	23073	false	_		_
60	promises	1600	true	given	195	_
61	views	23106	false	_		_
62	proposal	1704	true	external		_
63	point	23141	true	given	130	_
64	aim	12988	true	given	25	_
65	objectives	13089	true	given	29	_
66	question	15933	true	given	134	_
67	position	23475	false	_		_
68	decisions	13944	false	_		_
69	fact	13760	false	_		_
70	right	23848	true	given	138	_
71	problems	23948	false	_		_
72	need	2006	true	given	212	_
73	malice	23907	false	_		_
74	belief	2337	false	_		_
75	matter	24094	false	_		_
76	fact	2229	true	given	215	_
77	matter	24084	false	_		_
78	decisions	2413	false	_		_
79	ideas	2364	true	implicit		_
80	way	24188	true	given	147	_
81	dangers	16167	false	_		_
82	target	16235	false	_		_
83	reason	2673	true	given	218	_
84	will	16454	true	given	156	_
85	prerequisite	16321	true	given	150	_
86	reason	2733	false	_		idiomatisch
87	duty	24302	true	given	149	_
88	Position	24421	false	_		_
89	fact	2879	true	given	214	_
90	point	24702	false	_		_
91	justice	24662	false	_		_
92	justice	24780	false	_		_
93	ability	17323	true	given	88	_
94	conviction	17355	true	given	84	_
95	proposal	4461	true	given	203	_
96	proposal	4712	true	given	206	_
97	proposal	4498	true	given	203	_
98	decisions	17597	false	_		_
99	fact	5008	true	given	188	_
100	decisions	17504	false	_		_
101	hope	17663	true	given	96	_
102	fact	5071	true	given	168 166	_
103	aim	17749	true	given	100	_
104	proposal	18235	true	given	30	_
105	invitation	5174	false	_		_
